Home > Look Up Classes																	
Go to Main Content																	
																	
University of South Carolina (BILD)																	
																	
Skip Module Navigation Links																	
																	
Personal Information		Student		Account Information		Faculty Services											
																	
Search Search  	RETURN TO MENU | SITE MAP | HELP | EXIT																
Look Up Classes		N58254250 Manton M. Matthews															
		Spring 2017															
		2/14/17 15:46															
																	
																	
	Select the box in front of the CRN (C identifies a closed class) and choose Register or Add to Worksheet.																
																	
	Important Deadlines You Need to Know																
																	
Sections Found																	
CSCE - Comp Sci & Comp Engr																	
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Part of Term	Title	Days	Time	Cap	Act	Rem	Instructor	Date (MM/DD)	Location	Attribute
NR	40663	CSCE	102	10	COL	3	30 - Columbia Full Term	General Applications Programming	MW	03:30 pm-04:20 pm	24	11	13	Allen Jeevan Kanapala (P)	01/09-04/24	SMWALT 305	ARP Analytical Reasoning
									F	02:20 pm-03:10 pm				Mohammed Behbooei	01/09-04/24	SMWALT 361	ARP Analytical Reasoning
NR	40664	CSCE	102	11	COL	3	30 - Columbia Full Term	General Applications Programming	MW	03:30 pm-04:20 pm	24	10	14	Allen Jeevan Kanapala (P)	01/09-04/24	SMWALT 305	ARP Analytical Reasoning
									F	03:30 pm-04:20 pm				Alireza Salahirad	01/09-04/24	SMWALT 361	ARP Analytical Reasoning
NR	40665	CSCE	102	12	COL	3	30 - Columbia Full Term	General Applications Programming	MW	03:30 pm-04:20 pm	24	14	10	Allen Jeevan Kanapala (P)	01/09-04/24	SMWALT 305	ARP Analytical Reasoning
									R	04:25 pm-05:15 pm				James Patrick Brubaker	01/09-04/24	SMWALT 361	ARP Analytical Reasoning
NR	40666	CSCE	102	13	COL	3	30 - Columbia Full Term	General Applications Programming	TR	10:05 am-10:55 am	24	17	7	Xian Wu (P)	01/09-04/24	SMWALT 305	ARP Analytical Reasoning
									W	08:30 am-09:20 am				Md Modasshir	01/09-04/24	SMWALT 361	ARP Analytical Reasoning
NR	40667	CSCE	102	14	COL	3	30 - Columbia Full Term	General Applications Programming	TR	10:05 am-10:55 am	24	23	1	Xian Wu (P)	01/09-04/24	SMWALT 305	ARP Analytical Reasoning
									W	09:40 am-10:30 am				Jing Wang	01/09-04/24	SMWALT 361	ARP Analytical Reasoning
C	40668	CSCE	102	15	COL	3	30 - Columbia Full Term	General Applications Programming	TR	10:05 am-10:55 am	24	24	0	Xian Wu (P)	01/09-04/24	SMWALT 305	ARP Analytical Reasoning
									W	10:50 am-11:40 am				Mohammed Behbooei	01/09-04/24	SMWALT 361	ARP Analytical Reasoning
NR	40669	CSCE	102	16	COL	3	30 - Columbia Full Term	General Applications Programming	TR	02:50 pm-03:40 pm	24	23	1	Md Modasshir (P)	01/09-04/24	SMWALT 305	ARP Analytical Reasoning
									W	02:20 pm-03:10 pm				Vaishnavi Sunku	01/09-04/24	SMWALT 361	ARP Analytical Reasoning
NR	40670	CSCE	102	17	COL	3	30 - Columbia Full Term	General Applications Programming	TR	02:50 pm-03:40 pm	24	18	6	Md Modasshir (P)	01/09-04/24	SMWALT 305	ARP Analytical Reasoning
									W	03:30 pm-04:20 pm				Xian Wu	01/09-04/24	SMWALT 361	ARP Analytical Reasoning
NR	40671	CSCE	102	18	COL	3	30 - Columbia Full Term	General Applications Programming	TR	02:50 pm-03:40 pm	24	10	14	Md Modasshir (P)	01/09-04/24	SMWALT 305	ARP Analytical Reasoning
									W	04:40 pm-05:30 pm				Alireza Salahirad	01/09-04/24	SMWALT 361	ARP Analytical Reasoning
NR	40672	CSCE	102	19	COL	3	30 - Columbia Full Term	General Applications Programming	TR	05:30 pm-06:20 pm	24	14	10	Alireza Nasiri (P)	01/09-04/24	SMWALT 305	ARP Analytical Reasoning
									T	06:40 pm-07:30 pm				Alireza Salahirad	01/09-04/24	SMWALT 361	ARP Analytical Reasoning
NR	54021	CSCE	102	20	COL	3	30 - Columbia Full Term	General Applications Programming	TR	05:30 pm-06:20 pm	24	7	17	Alireza Nasiri (P)	01/09-04/24	SMWALT 305	ARP Analytical Reasoning
									R	06:40 pm-07:30 pm				James Patrick Brubaker	01/09-04/24	SMWALT 361	ARP Analytical Reasoning
C	40674	CSCE	102	H01	COL	3	30 - Columbia Full Term	HNRS: General Applications Programming	TR	02:50 pm-04:05 pm	24	24	0	Catherine T Matthews (P)	01/09-04/24	SMWALT 361	ARP Analytical Reasoning and SC Honors College
